strategy,risk,breaker,short_win_cohorts,short_win_pass_rate,short_win_failed,short_win_pass60,short_win_fail60,short_win_med,stress_cohorts,stress_pass_rate,stress_failed,stress_pass60,stress_fail60,stress_med,short_held0_usd_day,final_usd_day
NQ:S24[ALL],375,1000.0,94,0.757,17,0.11,0.183,103.0,381,0.382,131,0.0,0.065,182.0,20.7,6.4
NQ:S24[ALL],375,,94,0.757,17,0.11,0.183,103.0,381,0.382,131,0.0,0.065,182.0,20.7,6.4
NQ:S26[ALL],250,500.0,94,1.0,0,0.061,0.0,166.5,381,0.246,150,0.0,0.005,211.0,-13.1,-0.1
NQ:S26[ALL],250,,94,1.0,0,0.061,0.0,166.5,381,0.246,150,0.0,0.005,211.0,-13.1,-0.1
NQ:S42[AC],250,500.0,94,1.0,0,0.061,0.0,132.0,381,0.082,257,0.0,0.062,214.0,7.9,0.1
NQ:S42[AC],250,1000.0,94,1.0,0,0.061,0.0,132.0,381,0.082,257,0.0,0.062,214.0,7.9,0.1
NQ:S42[AC],250,,94,1.0,0,0.061,0.0,132.0,381,0.082,257,0.0,0.062,214.0,7.9,0.1
NQ:S26[ALL],250,1000.0,94,1.0,0,0.061,0.0,166.5,381,0.246,150,0.0,0.005,211.0,-13.1,-0.1
NQ:L23[ALL],375,500.0,94,0.846,8,0.012,0.085,166.0,381,0.454,106,0.0,0.032,183.0,-15.2,1.8
NQ:L23[ALL],375,1000.0,94,0.846,8,0.012,0.085,166.0,381,0.454,106,0.0,0.032,183.0,-15.2,1.8
NQ:L23[ALL],375,,94,0.846,8,0.012,0.085,166.0,381,0.454,106,0.0,0.032,183.0,-15.2,1.8
NQ:L23[ALL],250,,94,1.0,0,0.0,0.0,206.5,381,0.205,31,0.0,0.003,244.0,-10.2,0.9
NQ:L23[ALL],250,1000.0,94,1.0,0,0.0,0.0,206.5,381,0.205,31,0.0,0.003,244.0,-10.2,0.9
NQ:S24[ALL],250,1000.0,94,1.0,0,0.0,0.0,166.0,381,0.365,40,0.0,0.005,236.0,15.5,8.2
NQ:S24[ALL],250,500.0,94,1.0,0,0.0,0.0,166.0,381,0.365,40,0.0,0.005,236.0,15.5,8.2
NQ:L23[ALL],250,500.0,94,1.0,0,0.0,0.0,206.5,381,0.205,31,0.0,0.003,244.0,-10.2,0.9
NQ:S24[ALL],250,,94,1.0,0,0.0,0.0,166.0,381,0.365,40,0.0,0.005,236.0,15.5,8.2
