combo,n_strats,risks,breaker,smart,search_n,search_pass60,search_fail60,search_med
NDX100:S24 | SPX500:S24,2,1500/1500,2000.0,near,82,0.78,0.183,28.0
NDX100:S24 | SPX500:S24,2,1500/1500,,near,82,0.78,0.183,28.0
NDX100:S25 | SPX500:S42 | US30:L7,3,1000/1000/1000,2000.0,near,82,0.768,0.073,30.0
NDX100:S25 | SPX500:S42 | US30:L7,3,1000/1000/1000,,near,82,0.768,0.073,30.0
NDX100:S24 | SPX500:S24,2,1500/1500,2000.0,,82,0.756,0.183,31.5
NDX100:S24 | SPX500:S24,2,1500/1500,,,82,0.756,0.183,31.5
NDX100:S24 | SPX500:S42,2,1500/1500,2000.0,,82,0.744,0.061,33.0
NDX100:S24 | SPX500:S42,2,1500/1500,,,82,0.744,0.061,33.0
NDX100:S24 | SPX500:S42,2,1500/1500,2000.0,near,82,0.72,0.061,32.0
NDX100:S24 | SPX500:S42,2,1500/1500,,near,82,0.72,0.061,32.0
NDX100:S25,1,1500,2000.0,,82,0.72,0.183,28.0
NDX100:S25,1,1500,,,82,0.72,0.183,28.0
SPX500:S24 | NDX100:LIVE_COMP+MA100,2,500/1000,2000.0,near,82,0.695,0.012,35.0
NDX100:S24 | SPX500:S24,2,1000/1000,2000.0,near,82,0.695,0.024,33.0
NDX100:S24 | SPX500:S24,2,1000/1000,,near,82,0.695,0.024,33.0
NDX100:S25 | SPX500:S42 | US30:L7,3,750/750/750,2000.0,,82,0.695,0.024,36.0
NDX100:S25 | SPX500:S42 | US30:L7,3,750/750/750,,,82,0.695,0.024,36.0
NDX100:S25 | SPX500:S42 | US30:L7,3,1000/1000/500,2000.0,near,82,0.683,0.073,30.5
NDX100:S25 | SPX500:S42 | US30:L7,3,1000/1000/1000,2000.0,,82,0.683,0.098,26.0
NDX100:S25 | SPX500:S42 | US30:L7,3,1000/1000/1000,,,82,0.683,0.098,26.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,1000/1000/1000,2000.0,near,82,0.671,0.11,31.0
NDX100:S25 | SPX500:S42 | US30:L7,3,1000/500/1000,2000.0,near,82,0.671,0.11,28.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,1000/1000/1000,,near,82,0.671,0.122,31.0
SPX500:S24 | NDX100:LIVE_COMP,2,500/1000,2000.0,near,82,0.671,0.183,33.0
SPX500:S24 | NDX100:LIVE_COMP+MA100,2,1000/1000,2000.0,,82,0.659,0.11,32.5
SPX500:S24 | NDX100:LIVE_COMP+MA100,2,1000/1000,,,82,0.659,0.11,32.5
NDX100:S25 | SPX500:S42,2,1500/1500,2000.0,near,82,0.646,0.293,20.0
NDX100:S25 | SPX500:S42,2,1500/1500,,near,82,0.646,0.293,20.0
NDX100:S25 | SPX500:S42 | US30:L7,3,750/750/750,2000.0,near,82,0.634,0.037,35.5
NDX100:S25 | SPX500:S42 | US30:L7,3,750/750/750,,near,82,0.634,0.037,35.5
NDX100:S25 | SPX500:S21,2,1000/1000,2000.0,near,82,0.634,0.049,35.0
NDX100:S25 | SPX500:S21,2,1000/1000,,near,82,0.634,0.049,35.0
SPX500:S24 | NDX100:LIVE_COMP+MA100,2,1000/1000,2000.0,near,82,0.634,0.085,34.5
SPX500:S24 | NDX100:LIVE_COMP+MA100,2,1000/1000,,near,82,0.634,0.085,34.5
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,1000/1000/1000,2000.0,,82,0.634,0.11,31.0
NDX100:S25 | SPX500:S24,2,1000/500,2000.0,near,82,0.634,0.122,33.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,1000/1000/1000,,,82,0.634,0.122,30.5
NDX100:S22 | SPX500:S42,2,1500/1500,2000.0,near,82,0.634,0.268,28.5
NDX100:S22 | SPX500:S42,2,1500/1500,,near,82,0.634,0.268,28.5
NDX100:S24 | SPX500:S24,2,1000/1000,2000.0,,82,0.622,0.024,36.0
NDX100:S24 | SPX500:S24,2,1000/1000,,,82,0.622,0.024,36.0
NDX100:S25 | SPX500:S42,2,1000/500,2000.0,near,82,0.622,0.073,31.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,500/1000/1000,2000.0,near,82,0.622,0.085,31.0
SPX500:S21 | NDX100:LIVE_COMP+MA100,2,1000/1000,2000.0,near,82,0.622,0.122,34.0
SPX500:S21 | NDX100:LIVE_COMP+MA100,2,1000/1000,,near,82,0.622,0.122,34.0
NDX100:S25,1,1500,2000.0,near,82,0.622,0.159,38.0
NDX100:S25,1,1500,,near,82,0.622,0.159,38.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,1000/1000,2000.0,near,82,0.61,0.061,34.5
US30:L7 | NDX100:LIVE_COMP+MA100,2,1000/1000,,near,82,0.61,0.061,34.5
NDX100:S25 | SPX500:S42 | US30:L7,3,1000/500/500,2000.0,near,82,0.61,0.085,30.5
NDX100:S25 | SPX500:S21,2,1000/1000,2000.0,,82,0.61,0.11,35.5
NDX100:S25 | SPX500:S21,2,1000/1000,,,82,0.61,0.11,35.5
NDX100:S25 | US30:L7,2,1500/1500,2000.0,near,82,0.61,0.256,31.5
NDX100:S25 | US30:L7,2,1500/1500,,near,82,0.61,0.256,31.5
SPX500:S21 | NDX100:LIVE_COMP,2,1000/1000,2000.0,near,82,0.61,0.305,29.5
SPX500:S21 | NDX100:LIVE_COMP,2,1000/1000,,near,82,0.61,0.305,29.5
NDX100:S24 | SPX500:S42,2,1000/1000,2000.0,near,82,0.598,0.0,41.0
NDX100:S24 | SPX500:S42,2,1000/1000,,near,82,0.598,0.0,41.0
NDX100:S24 | SPX500:S24,2,1000/500,2000.0,near,82,0.598,0.0,40.0
SPX500:S24 | NDX100:LIVE_COMP+MA100,2,750/750,2000.0,near,82,0.598,0.024,40.0
SPX500:S24 | NDX100:LIVE_COMP+MA100,2,750/750,,near,82,0.598,0.024,40.0
SPX500:S21 | NDX100:LIVE_COMP+MA100,2,1000/1000,2000.0,,82,0.598,0.11,36.0
SPX500:S21 | NDX100:LIVE_COMP+MA100,2,1000/1000,,,82,0.598,0.11,36.0
NDX100:S24 | SPX500:S21,2,1500/1500,2000.0,near,82,0.598,0.171,32.0
NDX100:S24 | SPX500:S21,2,1500/1500,,near,82,0.598,0.171,32.0
NDX100:S22 | SPX500:S21,2,1500/1500,2000.0,,82,0.598,0.232,31.0
NDX100:S22 | SPX500:S21,2,1500/1500,,,82,0.598,0.232,31.0
