session,params,fit,nb_mean,nb_min,robust,n,tpd,R,R_trade,pfR,t,R_h1,R_h2,maxDD
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": true, ""leg_max"": 4, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 25.0, ""big_sl"": 25.0, ""big_tp"": 100.0, ""std_sl"": 15.0, ""std_tp"": 60.0, ""leg_gap"": 15.0, ""leg_sl"": 45.0, ""leg_tp"": 115.0, ""min_fv"": 40.0, ""min_bos"": 5.0, ""disp_pts"": 20.0, ""stack_gap"": 15.0}",3.316,3.144,1.965,3.144,286,0.81,133.1,0.4654,1.664,3.316,86.02,47.08,-18.99
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 2, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""bos"", ""stack_size"": 1.0, ""ma"": 50, ""big_thr"": 20.0, ""big_sl"": 30.0, ""big_tp"": 115.0, ""std_sl"": 30.0, ""std_tp"": 50.0, ""leg_gap"": 10.0, ""leg_sl"": 25.0, ""leg_tp"": 140.0, ""min_fv"": 40.0, ""min_bos"": 20.0, ""disp_pts"": 25.0, ""stack_gap"": 10.0}",3.315,3.005,-1.0,3.005,248,0.7,125.57,0.5063,1.774,3.315,72.58,52.99,-13.09
NY,"{""offset"": 0, ""window"": 150, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""fvg"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 25.0, ""big_sl"": 40.0, ""big_tp"": 115.0, ""std_sl"": 20.0, ""std_tp"": 42.0, ""leg_gap"": 15.0, ""leg_sl"": 35.0, ""leg_tp"": 140.0, ""min_fv"": 150.0, ""min_bos"": 15.0, ""disp_pts"": 40.0, ""stack_gap"": 15.0}",3.313,2.694,-1.0,2.694,285,0.81,114.76,0.4027,1.635,3.313,73.15,41.62,-10.84
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": true, ""leg_max"": 4, ""rev_mode"": ""disp_fv"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""both"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 10.0, ""big_sl"": 30.0, ""big_tp"": 115.0, ""std_sl"": 25.0, ""std_tp"": 30.0, ""leg_gap"": 10.0, ""leg_sl"": 35.0, ""leg_tp"": 115.0, ""min_fv"": 200.0, ""min_bos"": 5.0, ""disp_pts"": 40.0, ""stack_gap"": 20.0}",3.308,2.706,-1.0,2.706,302,0.86,134.32,0.4448,1.677,3.308,84.88,49.44,-16.0
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 50, ""big_thr"": 15.0, ""big_sl"": 25.0, ""big_tp"": 130.0, ""std_sl"": 20.0, ""std_tp"": 30.0, ""leg_gap"": 25.0, ""leg_sl"": 25.0, ""leg_tp"": 90.0, ""min_fv"": 60.0, ""min_bos"": 15.0, ""disp_pts"": 25.0, ""stack_gap"": 20.0}",3.301,2.883,-1.0,2.883,274,0.78,139.01,0.5073,1.698,3.301,88.66,50.35,-16.04
NY,"{""offset"": 0, ""window"": 150, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 50, ""big_thr"": 10.0, ""big_sl"": 35.0, ""big_tp"": 115.0, ""std_sl"": 15.0, ""std_tp"": 50.0, ""leg_gap"": 15.0, ""leg_sl"": 25.0, ""leg_tp"": 90.0, ""min_fv"": 60.0, ""min_bos"": 5.0, ""disp_pts"": 25.0, ""stack_gap"": 10.0}",3.3,2.723,-1.0,2.723,285,0.81,120.23,0.4219,1.637,3.3,77.37,42.86,-14.37
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": false, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 50, ""big_thr"": 15.0, ""big_sl"": 25.0, ""big_tp"": 130.0, ""std_sl"": 20.0, ""std_tp"": 35.0, ""leg_gap"": 10.0, ""leg_sl"": 45.0, ""leg_tp"": 115.0, ""min_fv"": 100.0, ""min_bos"": 5.0, ""disp_pts"": 25.0, ""stack_gap"": 20.0}",3.3,2.692,-1.0,2.692,269,0.76,135.31,0.503,1.69,3.3,87.2,48.1,-16.04
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": false, ""leg_max"": 2, ""rev_mode"": ""disp_fv"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 20.0, ""big_sl"": 25.0, ""big_tp"": 130.0, ""std_sl"": 20.0, ""std_tp"": 60.0, ""leg_gap"": 20.0, ""leg_sl"": 45.0, ""leg_tp"": 90.0, ""min_fv"": 200.0, ""min_bos"": 15.0, ""disp_pts"": 20.0, ""stack_gap"": 20.0}",3.298,2.924,-1.0,2.924,262,0.74,133.79,0.5106,1.699,3.298,78.42,55.37,-16.15
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": false, ""leg_max"": 2, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 50, ""big_thr"": 10.0, ""big_sl"": 25.0, ""big_tp"": 130.0, ""std_sl"": 20.0, ""std_tp"": 35.0, ""leg_gap"": 20.0, ""leg_sl"": 45.0, ""leg_tp"": 140.0, ""min_fv"": 80.0, ""min_bos"": 0.0, ""disp_pts"": 15.0, ""stack_gap"": 15.0}",3.298,2.964,-1.0,2.964,269,0.76,135.24,0.5027,1.69,3.298,87.2,48.03,-16.04
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": false, ""leg_max"": 6, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 1, ""stack_trig"": ""fvg"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 10.0, ""big_sl"": 25.0, ""big_tp"": 130.0, ""std_sl"": 15.0, ""std_tp"": 50.0, ""leg_gap"": 15.0, ""leg_sl"": 35.0, ""leg_tp"": 115.0, ""min_fv"": 80.0, ""min_bos"": 5.0, ""disp_pts"": 40.0, ""stack_gap"": 15.0}",3.298,2.167,-1.0,2.167,269,0.76,135.24,0.5027,1.69,3.298,87.2,48.03,-16.04
NY,"{""offset"": 0, ""window"": 150, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": false, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""bos"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 20.0, ""big_sl"": 30.0, ""big_tp"": 150.0, ""std_sl"": 15.0, ""std_tp"": 35.0, ""leg_gap"": 25.0, ""leg_sl"": 25.0, ""leg_tp"": 60.0, ""min_fv"": 80.0, ""min_bos"": 20.0, ""disp_pts"": 40.0, ""stack_gap"": 20.0}",3.296,2.953,-1.0,2.953,279,0.79,135.74,0.4865,1.669,3.296,84.49,51.25,-19.67
NY,"{""offset"": 0, ""window"": 90, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 50, ""big_thr"": 20.0, ""big_sl"": 35.0, ""big_tp"": 115.0, ""std_sl"": 30.0, ""std_tp"": 30.0, ""leg_gap"": 15.0, ""leg_sl"": 45.0, ""leg_tp"": 140.0, ""min_fv"": 60.0, ""min_bos"": 5.0, ""disp_pts"": 40.0, ""stack_gap"": 20.0}",3.296,2.963,-1.0,2.963,285,0.81,116.8,0.4098,1.651,3.296,81.91,34.88,-14.34
NY,"{""offset"": 0, ""window"": 150, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": false, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""fvg"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 20.0, ""big_sl"": 30.0, ""big_tp"": 100.0, ""std_sl"": 20.0, ""std_tp"": 60.0, ""leg_gap"": 20.0, ""leg_sl"": 25.0, ""leg_tp"": 60.0, ""min_fv"": 40.0, ""min_bos"": 5.0, ""disp_pts"": 25.0, ""stack_gap"": 20.0}",3.296,2.935,-1.0,2.935,224,0.64,102.06,0.4556,1.67,3.296,61.04,41.02,-10.27
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": false, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 50, ""big_thr"": 10.0, ""big_sl"": 25.0, ""big_tp"": 115.0, ""std_sl"": 15.0, ""std_tp"": 42.0, ""leg_gap"": 25.0, ""leg_sl"": 35.0, ""leg_tp"": 90.0, ""min_fv"": 60.0, ""min_bos"": 5.0, ""disp_pts"": 15.0, ""stack_gap"": 10.0}",3.294,2.689,-1.0,2.689,269,0.76,128.63,0.4782,1.663,3.294,80.55,48.07,-17.84
NY,"{""offset"": 0, ""window"": 150, ""exit"": ""run"", ""open_trade"": true, ""vwap"": false, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 10.0, ""big_sl"": 40.0, ""big_tp"": 80.0, ""std_sl"": 35.0, ""std_tp"": 30.0, ""leg_gap"": 15.0, ""leg_sl"": 35.0, ""leg_tp"": 140.0, ""min_fv"": 100.0, ""min_bos"": 20.0, ""disp_pts"": 25.0, ""stack_gap"": 10.0}",3.294,2.996,-1.0,2.996,285,0.81,98.09,0.3442,1.591,3.294,57.46,40.63,-10.41
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": false, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 3, ""stack_trig"": ""bos"", ""stack_size"": 1.0, ""ma"": 50, ""big_thr"": 15.0, ""big_sl"": 25.0, ""big_tp"": 115.0, ""std_sl"": 35.0, ""std_tp"": 50.0, ""leg_gap"": 20.0, ""leg_sl"": 45.0, ""leg_tp"": 140.0, ""min_fv"": 100.0, ""min_bos"": 10.0, ""disp_pts"": 15.0, ""stack_gap"": 10.0}",3.288,2.965,-1.0,2.965,269,0.76,128.4,0.4773,1.662,3.288,80.55,47.85,-17.84
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""run"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 4, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""bos"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 15.0, ""big_sl"": 30.0, ""big_tp"": 115.0, ""std_sl"": 20.0, ""std_tp"": 30.0, ""leg_gap"": 15.0, ""leg_sl"": 45.0, ""leg_tp"": 90.0, ""min_fv"": 100.0, ""min_bos"": 0.0, ""disp_pts"": 30.0, ""stack_gap"": 20.0}",3.287,2.982,0.548,2.982,253,0.72,121.82,0.4815,1.701,3.287,72.53,49.29,-11.8
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": false, ""leg_max"": 4, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""bos"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 10.0, ""big_sl"": 25.0, ""big_tp"": 130.0, ""std_sl"": 20.0, ""std_tp"": 35.0, ""leg_gap"": 10.0, ""leg_sl"": 35.0, ""leg_tp"": 140.0, ""min_fv"": 125.0, ""min_bos"": 10.0, ""disp_pts"": 15.0, ""stack_gap"": 15.0}",3.286,2.96,-1.0,2.96,279,0.79,137.14,0.4915,1.671,3.286,79.95,57.19,-13.74
NY,"{""offset"": 0, ""window"": 90, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""bos"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 25.0, ""big_sl"": 25.0, ""big_tp"": 115.0, ""std_sl"": 35.0, ""std_tp"": 35.0, ""leg_gap"": 15.0, ""leg_sl"": 35.0, ""leg_tp"": 140.0, ""min_fv"": 80.0, ""min_bos"": 20.0, ""disp_pts"": 40.0, ""stack_gap"": 10.0}",3.283,2.944,-1.0,2.944,297,0.84,140.74,0.4739,1.704,3.283,86.16,54.57,-16.4
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": true, ""leg_max"": 2, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 3, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 20.0, ""big_sl"": 35.0, ""big_tp"": 150.0, ""std_sl"": 35.0, ""std_tp"": 60.0, ""leg_gap"": 10.0, ""leg_sl"": 45.0, ""leg_tp"": 140.0, ""min_fv"": 40.0, ""min_bos"": 0.0, ""disp_pts"": 25.0, ""stack_gap"": 20.0}",3.282,2.681,-1.0,2.681,306,0.87,127.55,0.4168,1.65,3.282,78.53,49.02,-18.17
NY,"{""offset"": 0, ""window"": 90, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": false, ""leg_max"": 1, ""rev_mode"": ""std"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 200, ""big_thr"": 15.0, ""big_sl"": 40.0, ""big_tp"": 150.0, ""std_sl"": 30.0, ""std_tp"": 42.0, ""leg_gap"": 15.0, ""leg_sl"": 25.0, ""leg_tp"": 60.0, ""min_fv"": 125.0, ""min_bos"": 5.0, ""disp_pts"": 20.0, ""stack_gap"": 20.0}",3.28,2.8,0.477,2.8,667,1.89,126.43,0.1896,1.332,3.28,80.41,46.02,-12.89
NY,"{""offset"": 0, ""window"": 150, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": false, ""leg_max"": 4, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""both"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 10.0, ""big_sl"": 30.0, ""big_tp"": 130.0, ""std_sl"": 35.0, ""std_tp"": 42.0, ""leg_gap"": 20.0, ""leg_sl"": 35.0, ""leg_tp"": 115.0, ""min_fv"": 60.0, ""min_bos"": 5.0, ""disp_pts"": 20.0, ""stack_gap"": 10.0}",3.271,2.981,-1.0,2.981,233,0.66,118.38,0.5081,1.713,3.271,71.4,46.98,-11.2
NY,"{""offset"": 0, ""window"": 150, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": false, ""leg_max"": 2, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 1, ""stack_trig"": ""both"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 15.0, ""big_sl"": 30.0, ""big_tp"": 115.0, ""std_sl"": 35.0, ""std_tp"": 50.0, ""leg_gap"": 10.0, ""leg_sl"": 25.0, ""leg_tp"": 115.0, ""min_fv"": 40.0, ""min_bos"": 15.0, ""disp_pts"": 15.0, ""stack_gap"": 15.0}",3.266,2.198,-1.0,2.198,269,0.76,117.05,0.4351,1.62,3.266,77.08,39.97,-12.87
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": true, ""leg_max"": 6, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 3, ""stack_trig"": ""both"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 10.0, ""big_sl"": 35.0, ""big_tp"": 130.0, ""std_sl"": 35.0, ""std_tp"": 42.0, ""leg_gap"": 25.0, ""leg_sl"": 35.0, ""leg_tp"": 140.0, ""min_fv"": 125.0, ""min_bos"": 15.0, ""disp_pts"": 30.0, ""stack_gap"": 10.0}",3.26,2.693,-1.0,2.693,274,0.78,110.22,0.4023,1.628,3.26,75.04,35.18,-14.52
NY,"{""offset"": 0, ""window"": 90, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""both"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 10.0, ""big_sl"": 30.0, ""big_tp"": 130.0, ""std_sl"": 30.0, ""std_tp"": 42.0, ""leg_gap"": 20.0, ""leg_sl"": 35.0, ""leg_tp"": 115.0, ""min_fv"": 100.0, ""min_bos"": 10.0, ""disp_pts"": 20.0, ""stack_gap"": 10.0}",3.259,3.227,3.037,3.227,289,0.82,128.97,0.4463,1.648,3.259,85.14,43.83,-16.74
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 6, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 10.0, ""big_sl"": 25.0, ""big_tp"": 115.0, ""std_sl"": 25.0, ""std_tp"": 60.0, ""leg_gap"": 10.0, ""leg_sl"": 25.0, ""leg_tp"": 60.0, ""min_fv"": 40.0, ""min_bos"": 10.0, ""disp_pts"": 15.0, ""stack_gap"": 15.0}",3.257,2.66,-1.0,2.66,248,0.7,128.26,0.5172,1.737,3.257,72.74,55.52,-13.92
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 25.0, ""big_sl"": 25.0, ""big_tp"": 150.0, ""std_sl"": 20.0, ""std_tp"": 42.0, ""leg_gap"": 15.0, ""leg_sl"": 35.0, ""leg_tp"": 140.0, ""min_fv"": 150.0, ""min_bos"": 15.0, ""disp_pts"": 30.0, ""stack_gap"": 20.0}",3.256,2.931,-1.0,2.931,297,0.84,153.36,0.5164,1.723,3.256,81.61,71.75,-17.45
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": false, ""leg_max"": 2, ""rev_mode"": ""std"", ""wait_open"": false, ""maxpos"": 1, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 15.0, ""big_sl"": 30.0, ""big_tp"": 130.0, ""std_sl"": 15.0, ""std_tp"": 42.0, ""leg_gap"": 15.0, ""leg_sl"": 45.0, ""leg_tp"": 60.0, ""min_fv"": 200.0, ""min_bos"": 15.0, ""disp_pts"": 15.0, ""stack_gap"": 10.0}",3.256,3.162,2.535,3.162,305,0.87,120.81,0.3961,1.58,3.256,96.58,24.22,-20.94
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": false, ""leg_max"": 6, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 10.0, ""big_sl"": 40.0, ""big_tp"": 130.0, ""std_sl"": 15.0, ""std_tp"": 60.0, ""leg_gap"": 15.0, ""leg_sl"": 45.0, ""leg_tp"": 115.0, ""min_fv"": 125.0, ""min_bos"": 5.0, ""disp_pts"": 30.0, ""stack_gap"": 20.0}",3.255,3.096,1.692,3.096,279,0.79,98.6,0.3534,1.579,3.255,62.29,36.31,-11.87
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": true, ""leg_max"": 4, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 3, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 10.0, ""big_sl"": 35.0, ""big_tp"": 115.0, ""std_sl"": 35.0, ""std_tp"": 30.0, ""leg_gap"": 25.0, ""leg_sl"": 45.0, ""leg_tp"": 140.0, ""min_fv"": 60.0, ""min_bos"": 20.0, ""disp_pts"": 20.0, ""stack_gap"": 15.0}",3.246,2.938,-1.0,2.938,274,0.78,104.77,0.3824,1.608,3.246,71.87,32.91,-16.67
NY,"{""offset"": 0, ""window"": 150, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 15.0, ""big_sl"": 35.0, ""big_tp"": 115.0, ""std_sl"": 20.0, ""std_tp"": 35.0, ""leg_gap"": 20.0, ""leg_sl"": 45.0, ""leg_tp"": 115.0, ""min_fv"": 125.0, ""min_bos"": 5.0, ""disp_pts"": 40.0, ""stack_gap"": 10.0}",3.244,2.682,-1.0,2.682,243,0.69,105.76,0.4352,1.662,3.244,68.12,37.64,-11.24
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""disp_fv"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 10.0, ""big_sl"": 25.0, ""big_tp"": 130.0, ""std_sl"": 35.0, ""std_tp"": 42.0, ""leg_gap"": 10.0, ""leg_sl"": 25.0, ""leg_tp"": 90.0, ""min_fv"": 200.0, ""min_bos"": 20.0, ""disp_pts"": 15.0, ""stack_gap"": 10.0}",3.243,2.927,-1.0,2.927,310,0.88,151.79,0.4896,1.684,3.243,101.52,50.27,-17.95
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": false, ""leg_max"": 6, ""rev_mode"": ""std"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""both"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 15.0, ""big_sl"": 30.0, ""big_tp"": 115.0, ""std_sl"": 20.0, ""std_tp"": 35.0, ""leg_gap"": 25.0, ""leg_sl"": 45.0, ""leg_tp"": 140.0, ""min_fv"": 150.0, ""min_bos"": 15.0, ""disp_pts"": 15.0, ""stack_gap"": 20.0}",3.24,2.911,-1.0,2.911,320,0.91,107.8,0.3369,1.514,3.24,77.69,30.11,-17.14
NY,"{""offset"": 0, ""window"": 120, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 2, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 20.0, ""big_sl"": 30.0, ""big_tp"": 130.0, ""std_sl"": 15.0, ""std_tp"": 30.0, ""leg_gap"": 15.0, ""leg_sl"": 35.0, ""leg_tp"": 90.0, ""min_fv"": 80.0, ""min_bos"": 15.0, ""disp_pts"": 25.0, ""stack_gap"": 15.0}",3.24,2.672,-1.0,2.672,253,0.72,124.49,0.4921,1.714,3.24,75.15,49.33,-13.27
NY,"{""offset"": 0, ""window"": 90, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": true, ""leg_max"": 4, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""bos"", ""stack_size"": 1.0, ""ma"": 50, ""big_thr"": 15.0, ""big_sl"": 30.0, ""big_tp"": 130.0, ""std_sl"": 20.0, ""std_tp"": 60.0, ""leg_gap"": 20.0, ""leg_sl"": 45.0, ""leg_tp"": 90.0, ""min_fv"": 125.0, ""min_bos"": 5.0, ""disp_pts"": 40.0, ""stack_gap"": 10.0}",3.24,2.702,-1.0,2.702,277,0.79,124.25,0.4486,1.659,3.24,85.37,38.88,-13.62
NY,"{""offset"": 0, ""window"": 120, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 2, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""both"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 20.0, ""big_sl"": 30.0, ""big_tp"": 130.0, ""std_sl"": 35.0, ""std_tp"": 60.0, ""leg_gap"": 20.0, ""leg_sl"": 45.0, ""leg_tp"": 140.0, ""min_fv"": 200.0, ""min_bos"": 20.0, ""disp_pts"": 20.0, ""stack_gap"": 15.0}",3.237,2.669,-1.0,2.669,244,0.69,121.57,0.4982,1.724,3.237,78.11,43.46,-12.23
NY,"{""offset"": 0, ""window"": 150, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 200, ""big_thr"": 25.0, ""big_sl"": 30.0, ""big_tp"": 115.0, ""std_sl"": 30.0, ""std_tp"": 60.0, ""leg_gap"": 15.0, ""leg_sl"": 45.0, ""leg_tp"": 140.0, ""min_fv"": 60.0, ""min_bos"": 15.0, ""disp_pts"": 25.0, ""stack_gap"": 20.0}",3.236,2.941,-1.0,2.941,325,0.92,133.65,0.4112,1.599,3.236,81.2,52.45,-19.09
NY,"{""offset"": 0, ""window"": 150, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 4, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 1, ""stack_trig"": ""bos"", ""stack_size"": 1.0, ""ma"": 50, ""big_thr"": 15.0, ""big_sl"": 25.0, ""big_tp"": 115.0, ""std_sl"": 15.0, ""std_tp"": 60.0, ""leg_gap"": 15.0, ""leg_sl"": 45.0, ""leg_tp"": 60.0, ""min_fv"": 150.0, ""min_bos"": 0.0, ""disp_pts"": 25.0, ""stack_gap"": 20.0}",3.233,2.643,-1.0,2.643,241,0.68,128.56,0.5334,1.747,3.233,77.23,51.33,-12.6
