inst,params,fit0,nb0,robust0,fit1,nb1,robust1,fit2,nb2,robust2,fit3,nb3,robust3
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 180, ""legs"": false, ""leg_max"": 4, ""legs_mgmt"": ""same"", ""leg_window"": 60, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 0, ""std_sl"": 30, ""std_tp"": 60, ""leg_gap"": 20, ""leg_sl"": 25, ""leg_tp"": 115, ""gap_min"": 50, ""be_at"": 0, ""partial"": 2.0, ""trail"": 2.0}",3.459,2.723,2.723,2.077,1.525,1.525,3.32,2.596,2.596,-99.0,-0.637,-99.0
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 180, ""legs"": false, ""leg_max"": 6, ""legs_mgmt"": ""same"", ""leg_window"": 120, ""ma"": 100, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 5, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 15, ""big_sl"": 30, ""big_tp"": 130, ""std_sl"": 30, ""std_tp"": 80, ""leg_gap"": 10, ""leg_sl"": 35, ""leg_tp"": 140, ""gap_min"": 50, ""be_at"": 1.5, ""partial"": 3.0, ""trail"": 0}",3.327,2.96,2.96,1.548,1.356,1.356,3.196,2.863,2.863,1.448,1.027,1.027
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 120, ""legs"": true, ""leg_max"": 4, ""legs_mgmt"": ""fixed"", ""leg_window"": 60, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 5, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 25, ""big_sl"": 35, ""big_tp"": 200, ""std_sl"": 15, ""std_tp"": 80, ""leg_gap"": 10, ""leg_sl"": 35, ""leg_tp"": 60, ""gap_min"": 50, ""be_at"": 0, ""partial"": 3.0, ""trail"": 3.0}",3.506,3.044,3.044,2.066,1.792,1.792,3.55,2.87,2.87,2.447,1.711,1.711
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 15, ""gap"": ""against"", ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 130, ""std_sl"": 35, ""std_tp"": 50, ""leg_gap"": 10, ""leg_sl"": 45, ""leg_tp"": 140, ""gap_min"": 100, ""be_at"": 0, ""partial"": 0, ""trail"": 3.0}",2.84,1.86,1.86,2.323,1.383,1.383,1.863,0.969,0.969,1.723,0.843,0.843
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 180, ""legs"": true, ""leg_max"": 2, ""legs_mgmt"": ""same"", ""leg_window"": 30, ""ma"": 0, ""dyn"": false, ""entry_mode"": ""pb"", ""pb_frac"": 0.7, ""pb_wait"": 15, ""gap"": ""against"", ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 25, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 15, ""std_tp"": 42, ""leg_gap"": 10, ""leg_sl"": 45, ""leg_tp"": 140, ""gap_min"": 50, ""be_at"": 0.5, ""partial"": 2.0, ""trail"": 1.5}",-99.0,-0.713,-99.0,2.458,1.666,1.666,-99.0,-0.637,-99.0,-99.0,-0.746,-99.0
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 180, ""legs"": true, ""leg_max"": 2, ""legs_mgmt"": ""same"", ""leg_window"": 30, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 15, ""gap"": ""off"", ""body_min"": 0.3, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 25, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 15, ""std_tp"": 50, ""leg_gap"": 20, ""leg_sl"": 45, ""leg_tp"": 60, ""gap_min"": 50, ""be_at"": 2.0, ""partial"": 0, ""trail"": 2.0}",3.052,2.79,2.79,2.08,1.718,1.718,3.283,2.839,2.839,2.065,1.823,1.823
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 180, ""legs"": false, ""leg_max"": 6, ""legs_mgmt"": ""same"", ""leg_window"": 30, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 15, ""gap"": ""against"", ""body_min"": 0.3, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 15, ""big_sl"": 40, ""big_tp"": 115, ""std_sl"": 30, ""std_tp"": 50, ""leg_gap"": 15, ""leg_sl"": 45, ""leg_tp"": 90, ""gap_min"": 0, ""be_at"": 1.5, ""partial"": 0, ""trail"": 3.0}",3.125,1.876,1.876,2.301,1.628,1.628,3.1,1.737,1.737,-99.0,-0.693,-99.0
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 180, ""legs"": true, ""leg_max"": 2, ""legs_mgmt"": ""fixed"", ""leg_window"": 60, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 5, ""gap"": ""off"", ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 10, ""big_sl"": 50, ""big_tp"": 130, ""std_sl"": 25, ""std_tp"": 0, ""leg_gap"": 20, ""leg_sl"": 25, ""leg_tp"": 60, ""gap_min"": 100, ""be_at"": 2.0, ""partial"": 1.5, ""trail"": 1.5}",3.135,2.697,2.697,1.506,1.156,1.156,2.741,2.465,2.465,2.123,1.783,1.783
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 180, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 60, ""ma"": 0, ""dyn"": true, ""entry_mode"": ""pb"", ""pb_frac"": 0.5, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0, ""volf"": ""skip_low"", ""dow"": ""none"", ""big_thr"": 25, ""big_sl"": 25, ""big_tp"": 150, ""std_sl"": 30, ""std_tp"": 50, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 140, ""gap_min"": 0, ""be_at"": 0.5, ""partial"": 1.5, ""trail"": 0}",1.397,0.711,0.711,1.004,-0.178,-0.178,0.96,-0.526,-0.526,2.29,1.75,1.75
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 240, ""legs"": false, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 60, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 5, ""gap"": ""with"", ""body_min"": 0, ""volf"": ""skip_low"", ""dow"": ""none"", ""big_thr"": 10, ""big_sl"": 35, ""big_tp"": 100, ""std_sl"": 30, ""std_tp"": 30, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 0, ""gap_min"": 0, ""be_at"": 1.5, ""partial"": 3.0, ""trail"": 0}",2.277,2.076,2.076,1.256,1.122,1.122,2.207,1.984,1.984,2.194,1.973,1.973
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 240, ""legs"": false, ""leg_max"": 6, ""legs_mgmt"": ""same"", ""leg_window"": 30, ""ma"": 100, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 5, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 10, ""big_sl"": 40, ""big_tp"": 150, ""std_sl"": 15, ""std_tp"": 60, ""leg_gap"": 20, ""leg_sl"": 35, ""leg_tp"": 60, ""gap_min"": 100, ""be_at"": 2.0, ""partial"": 3.0, ""trail"": 2.0}",3.326,3.305,3.305,2.01,2.015,2.01,2.985,2.968,2.968,1.693,1.517,1.517
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 240, ""legs"": true, ""leg_max"": 1, ""legs_mgmt"": ""fixed"", ""leg_window"": 60, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0, ""volf"": ""mid"", ""dow"": ""none"", ""big_thr"": 20, ""big_sl"": 50, ""big_tp"": 200, ""std_sl"": 15, ""std_tp"": 80, ""leg_gap"": 10, ""leg_sl"": 45, ""leg_tp"": 115, ""gap_min"": 0, ""be_at"": 2.0, ""partial"": 2.0, ""trail"": 1.5}",2.289,1.944,1.944,1.192,0.236,0.236,3.058,2.774,2.774,2.146,1.689,1.689
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 60, ""legs"": false, ""leg_max"": 6, ""legs_mgmt"": ""same"", ""leg_window"": 60, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 15, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 15, ""big_sl"": 25, ""big_tp"": 115, ""std_sl"": 35, ""std_tp"": 80, ""leg_gap"": 10, ""leg_sl"": 45, ""leg_tp"": 90, ""gap_min"": 0, ""be_at"": 0, ""partial"": 3.0, ""trail"": 3.0}",3.686,3.056,3.056,1.802,1.459,1.459,3.422,2.829,2.829,1.998,0.898,0.898
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 60, ""legs"": true, ""leg_max"": 1, ""legs_mgmt"": ""same"", ""leg_window"": 60, ""ma"": 100, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 5, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""skip_low"", ""dow"": ""none"", ""big_thr"": 10, ""big_sl"": 50, ""big_tp"": 150, ""std_sl"": 20, ""std_tp"": 30, ""leg_gap"": 15, ""leg_sl"": 45, ""leg_tp"": 60, ""gap_min"": 100, ""be_at"": 2.0, ""partial"": 3.0, ""trail"": 2.0}",3.198,2.907,2.907,1.776,1.415,1.415,2.794,2.54,2.54,2.2,1.932,1.932
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 240, ""legs"": true, ""leg_max"": 2, ""legs_mgmt"": ""fixed"", ""leg_window"": 30, ""ma"": 0, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 15, ""gap"": ""against"", ""body_min"": 0, ""volf"": ""off"", ""dow"": ""fri"", ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 130, ""std_sl"": 30, ""std_tp"": 30, ""leg_gap"": 20, ""leg_sl"": 35, ""leg_tp"": 115, ""gap_min"": 50, ""be_at"": 1.0, ""partial"": 0, ""trail"": 0}",2.666,2.073,2.073,2.474,1.665,1.665,2.74,1.909,1.909,1.72,0.953,0.953
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 240, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 30, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0.3, ""volf"": ""skip_low"", ""dow"": ""none"", ""big_thr"": 10, ""big_sl"": 35, ""big_tp"": 200, ""std_sl"": 35, ""std_tp"": 60, ""leg_gap"": 20, ""leg_sl"": 45, ""leg_tp"": 0, ""gap_min"": 20, ""be_at"": 1.0, ""partial"": 3.0, ""trail"": 3.0}",2.759,2.652,2.652,2.249,2.113,2.113,3.1,2.942,2.942,2.118,1.915,1.915
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 240, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""same"", ""leg_window"": 60, ""ma"": 0, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 5, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""skip_high"", ""dow"": ""none"", ""big_thr"": 10, ""big_sl"": 40, ""big_tp"": 200, ""std_sl"": 30, ""std_tp"": 50, ""leg_gap"": 25, ""leg_sl"": 35, ""leg_tp"": 60, ""gap_min"": 0, ""be_at"": 0, ""partial"": 0, ""trail"": 0}",2.893,2.462,2.462,2.194,1.478,1.478,2.898,2.26,2.26,2.01,1.192,1.192
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 60, ""legs"": false, ""leg_max"": 1, ""legs_mgmt"": ""fixed"", ""leg_window"": 30, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 5, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""off"", ""dow"": ""fri"", ""big_thr"": 25, ""big_sl"": 35, ""big_tp"": 0, ""std_sl"": 30, ""std_tp"": 80, ""leg_gap"": 20, ""leg_sl"": 35, ""leg_tp"": 115, ""gap_min"": 50, ""be_at"": 2.0, ""partial"": 2.0, ""trail"": 2.0}",2.966,2.159,2.159,1.233,0.689,0.689,3.256,2.424,2.424,-99.0,-0.833,-99.0
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 60, ""legs"": true, ""leg_max"": 4, ""legs_mgmt"": ""fixed"", ""leg_window"": 60, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 5, ""gap"": ""off"", ""body_min"": 0.3, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 20, ""big_sl"": 25, ""big_tp"": 115, ""std_sl"": 30, ""std_tp"": 30, ""leg_gap"": 25, ""leg_sl"": 25, ""leg_tp"": 115, ""gap_min"": 20, ""be_at"": 0, ""partial"": 3.0, ""trail"": 3.0}",2.843,2.758,2.758,1.795,1.679,1.679,3.111,2.946,2.946,1.844,1.106,1.106
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 60, ""legs"": true, ""leg_max"": 4, ""legs_mgmt"": ""same"", ""leg_window"": 30, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 25, ""big_sl"": 35, ""big_tp"": 200, ""std_sl"": 35, ""std_tp"": 30, ""leg_gap"": 10, ""leg_sl"": 25, ""leg_tp"": 0, ""gap_min"": 0, ""be_at"": 1.5, ""partial"": 1.5, ""trail"": 3.0}",3.042,2.657,2.657,1.567,1.369,1.369,3.321,2.553,2.553,-99.0,0.214,-99.0
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 60, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 30, ""gap"": ""against"", ""body_min"": 0, ""volf"": ""off"", ""dow"": ""fri"", ""big_thr"": 20, ""big_sl"": 50, ""big_tp"": 130, ""std_sl"": 25, ""std_tp"": 60, ""leg_gap"": 15, ""leg_sl"": 25, ""leg_tp"": 115, ""gap_min"": 20, ""be_at"": 0, ""partial"": 0, ""trail"": 0}",2.513,2.08,2.08,2.278,1.663,1.663,1.614,1.326,1.326,0.835,0.62,0.62
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 60, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 60, ""ma"": 0, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 15, ""gap"": ""off"", ""body_min"": 0.7, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 15, ""big_sl"": 40, ""big_tp"": 150, ""std_sl"": 25, ""std_tp"": 80, ""leg_gap"": 25, ""leg_sl"": 45, ""leg_tp"": 115, ""gap_min"": 0, ""be_at"": 1.5, ""partial"": 2.0, ""trail"": 2.0}",2.701,1.787,1.787,2.353,1.301,1.301,2.276,1.249,1.249,1.988,1.043,1.043
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 60, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""same"", ""leg_window"": 120, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 5, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""skip_low"", ""dow"": ""none"", ""big_thr"": 25, ""big_sl"": 25, ""big_tp"": 0, ""std_sl"": 15, ""std_tp"": 60, ""leg_gap"": 25, ""leg_sl"": 25, ""leg_tp"": 115, ""gap_min"": 50, ""be_at"": 0, ""partial"": 3.0, ""trail"": 3.0}",3.446,3.182,3.182,1.716,1.539,1.539,3.202,2.986,2.986,2.191,1.5,1.5
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 90, ""legs"": false, ""leg_max"": 1, ""legs_mgmt"": ""fixed"", ""leg_window"": 30, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 5, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 20, ""big_sl"": 40, ""big_tp"": 130, ""std_sl"": 20, ""std_tp"": 50, ""leg_gap"": 20, ""leg_sl"": 25, ""leg_tp"": 60, ""gap_min"": 100, ""be_at"": 1.5, ""partial"": 2.0, ""trail"": 0}",3.401,3.246,3.246,2.25,2.046,2.046,3.466,3.362,3.362,-99.0,-0.614,-99.0
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 60, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""same"", ""leg_window"": 120, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0, ""volf"": ""skip_high"", ""dow"": ""none"", ""big_thr"": 10, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 15, ""std_tp"": 30, ""leg_gap"": 15, ""leg_sl"": 25, ""leg_tp"": 140, ""gap_min"": 100, ""be_at"": 2.0, ""partial"": 0, ""trail"": 3.0}",3.051,3.007,3.007,1.453,1.426,1.426,3.076,2.97,2.97,2.163,2.075,2.075
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 60, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""same"", ""leg_window"": 120, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 10, ""big_sl"": 50, ""big_tp"": 130, ""std_sl"": 20, ""std_tp"": 80, ""leg_gap"": 10, ""leg_sl"": 45, ""leg_tp"": 60, ""gap_min"": 100, ""be_at"": 2.0, ""partial"": 0, ""trail"": 3.0}",2.859,2.418,2.418,1.025,0.305,0.305,2.326,1.667,1.667,2.115,1.745,1.745
NQ,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 90, ""legs"": true, ""leg_max"": 2, ""legs_mgmt"": ""fixed"", ""leg_window"": 30, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0.3, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 25, ""big_sl"": 50, ""big_tp"": 0, ""std_sl"": 20, ""std_tp"": 80, ""leg_gap"": 15, ""leg_sl"": 45, ""leg_tp"": 0, ""gap_min"": 100, ""be_at"": 0, ""partial"": 3.0, ""trail"": 1.5}",3.073,2.802,2.802,2.176,1.94,1.94,2.98,2.635,2.635,2.545,2.195,2.195
