baseline,risk,breaker,smart,train_cohorts,train_passed,train_failed,train_open,train_pass_rate,train_med_days,train_fail_daily,train_fail_max,search_cohorts,search_passed,search_failed,search_open,search_pass_rate,search_med_days,search_fail_daily,search_fail_max,final_cohorts,final_passed,final_failed,final_open,final_pass_rate,final_med_days,final_fail_daily,final_fail_max,train_usd_per_day,held_usd_per_day,final_usd_per_day
LIVE+MA100,750,,near,76,50,9,17,0.847,43.5,9,0,94,65,11,18,0.855,46.0,8,3,9,4,0,5,1.0,19.5,0,0,217.7,42.7,718.1
LIVE+MA100,1000,2000.0,,76,49,13,14,0.79,34.0,0,13,94,54,29,11,0.651,38.0,0,29,9,4,0,5,1.0,18.5,0,0,269.1,-46.8,750.3
LIVE+MA100,1000,2000.0,near,76,51,11,14,0.823,31.0,0,11,94,57,26,11,0.687,30.0,0,26,9,5,0,4,1.0,15.0,0,0,269.1,-46.8,750.3
LIVE+MA100,1000,,,76,41,34,1,0.547,29.0,30,4,94,41,52,1,0.441,34.0,44,8,9,1,4,4,0.2,10.0,4,0,290.3,56.9,957.6
LIVE+MA100,1000,,near,76,44,31,1,0.587,26.0,28,3,94,50,43,1,0.538,27.0,36,7,9,1,4,4,0.2,10.0,4,0,290.3,56.9,957.6
LIVE+MA100,1500,2000.0,,76,39,36,1,0.52,22.0,8,28,94,36,57,1,0.387,20.5,17,40,9,3,3,3,0.5,10.0,0,3,405.9,-44.7,1210.1
LIVE+MA100,1500,2000.0,near,76,41,34,1,0.547,17.0,7,27,94,50,43,1,0.538,20.5,14,29,9,4,3,2,0.571,9.5,0,3,405.9,-44.7,1210.1
LIVE+MA100,1500,,,76,33,42,1,0.44,21.0,34,8,94,30,63,1,0.323,16.5,46,17,9,1,7,1,0.125,8.0,7,0,435.4,85.4,1436.3
LIVE+MA100,1500,,near,76,35,40,1,0.467,17.0,31,9,94,35,58,1,0.376,15.0,40,18,9,2,6,1,0.25,8.0,6,0,435.4,85.4,1436.3
LIVE+MA100,2000,2000.0,,76,35,40,1,0.467,17.0,15,25,94,41,52,1,0.441,18.0,22,30,9,2,6,1,0.25,13.5,3,3,534.6,-36.9,762.4
LIVE+MA100,2000,2000.0,near,76,42,33,1,0.56,14.0,11,22,94,54,39,1,0.581,15.5,11,28,9,3,5,1,0.375,8.0,1,4,534.6,-36.9,762.4
LIVE+MA100,2000,,,76,14,61,1,0.187,12.0,50,11,94,18,75,1,0.194,12.5,61,14,9,0,8,1,0.0,,8,0,580.7,113.8,1915.1
LIVE+MA100,2000,,near,76,24,51,1,0.32,11.0,42,9,94,32,61,1,0.344,13.0,46,15,9,2,6,1,0.25,8.0,6,0,580.7,113.8,1915.1
DISP_FV,250,2000.0,,76,38,8,30,0.826,132.5,0,8,94,77,11,6,0.875,113.0,0,11,9,0,2,7,0.0,,0,2,118.7,170.9,-18.8
DISP_FV,250,2000.0,near,76,36,10,30,0.783,133.5,0,10,94,78,10,6,0.886,125.5,0,10,9,0,2,7,0.0,,0,2,118.7,170.9,-18.8
DISP_FV,250,,,76,35,8,33,0.814,143.0,0,8,94,77,11,6,0.875,125.0,0,11,9,0,2,7,0.0,,0,2,109.5,182.6,-45.1
DISP_FV,250,,near,76,33,10,33,0.767,152.0,0,10,94,78,10,6,0.886,108.0,0,10,9,0,2,7,0.0,,0,2,109.5,182.6,-45.1
DISP_FV,500,2000.0,,76,17,50,9,0.254,19.0,0,50,94,43,48,3,0.473,39.0,0,48,9,0,6,3,0.0,,0,6,226.3,152.6,-102.2
DISP_FV,500,2000.0,near,76,29,38,9,0.433,33.0,0,38,94,46,45,3,0.505,37.0,0,45,9,0,6,3,0.0,,0,6,226.3,152.6,-102.2
DISP_FV,500,,,76,26,49,1,0.347,36.5,28,21,94,40,53,1,0.43,35.0,29,24,9,0,6,3,0.0,,6,0,219.0,365.3,-90.2
DISP_FV,500,,near,76,30,44,2,0.405,30.5,25,19,94,42,50,2,0.457,31.0,26,24,9,1,5,3,0.167,11.0,5,0,219.0,365.3,-90.2
