combo,risk,breaker,pstop,smart,trades_per_day,usd_train,cohorts,passed,failed,open,pass_rate,med_days,fail_daily,fail_max
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",750,2000.0,,near,0.64,70503,76,49,0,27,1.0,79.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 8}",750,3000.0,,,0.66,81039,76,49,0,27,1.0,75.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 8}",750,3000.0,,near,0.66,81039,76,49,0,27,1.0,71.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 5}",250,,,near,1.07,42504,76,49,0,27,1.0,137.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 5}",250,3000.0,,near,1.07,42504,76,49,0,27,1.0,137.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 5}",250,4000.0,,near,1.07,42504,76,49,0,27,1.0,137.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 1}",250,3000.0,,,0.96,36413,76,49,0,27,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 1}",250,3000.0,,near,0.96,36413,76,49,0,27,1.0,138.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 4}",250,,,near,0.93,36584,76,49,0,27,1.0,136.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 5}",250,2000.0,,,0.92,37468,76,49,0,27,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 5}",250,2000.0,,near,0.92,37468,76,49,0,27,1.0,158.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 5}",250,,,,0.93,36871,76,49,0,27,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 5}",250,,,near,0.93,36871,76,49,0,27,1.0,158.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 6}",250,,,,1.01,37076,76,49,0,27,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 6}",250,,,near,1.01,37076,76,49,0,27,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 7}",250,,,,1.03,38282,76,49,0,27,1.0,139.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 7}",250,,,near,1.03,38282,76,49,0,27,1.0,136.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 7}",250,3000.0,,,1.03,38282,76,49,0,27,1.0,139.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 7}",250,3000.0,,near,1.03,38282,76,49,0,27,1.0,136.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 7}",250,2000.0,,,1.02,38879,76,49,0,27,1.0,139.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 7}",250,2000.0,,near,1.02,38879,76,49,0,27,1.0,136.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 8}",250,2000.0,,,0.92,33288,76,49,0,27,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 8}",250,2000.0,,near,0.92,33288,76,49,0,27,1.0,139.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 8}",250,,,,0.93,32692,76,49,0,27,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 8}",250,,,near,0.93,32692,76,49,0,27,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 8}",250,,,,0.93,32692,76,49,0,27,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 8}",250,,,near,0.93,32692,76,49,0,27,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 8}",250,2000.0,,,0.92,33288,76,49,0,27,1.0,141.0,0,0
