session,params,fit,nb_mean,nb_min,robust,n,tpd,R,R_trade,pfR,t,R_h1,R_h2,maxDD
LDN,"{""offset"": 0, ""window"": 120, ""exit"": ""run"", ""open_trade"": false, ""vwap"": true, ""legs"": false, ""leg_max"": 6, ""rev_mode"": ""disp_fv"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""bos"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 8.0, ""big_sl"": 12.0, ""big_tp"": 32.0, ""std_sl"": 14.0, ""std_tp"": 14.0, ""leg_gap"": 4.0, ""leg_sl"": 14.0, ""leg_tp"": 24.0, ""min_fv"": 60.0, ""min_bos"": 8.0, ""disp_pts"": 10.0, ""stack_gap"": 4.0}",0.115,-0.634,-1.0,-0.634,87,0.25,3.35,0.0385,1.04,0.115,1.29,2.05,-24.21
LDN,"{""offset"": 0, ""window"": 120, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": false, ""legs"": false, ""leg_max"": 6, ""rev_mode"": ""disp_fv"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""both"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 4.0, ""big_sl"": 16.0, ""big_tp"": 46.0, ""std_sl"": 14.0, ""std_tp"": 12.0, ""leg_gap"": 8.0, ""leg_sl"": 10.0, ""leg_tp"": 56.0, ""min_fv"": 60.0, ""min_bos"": 4.0, ""disp_pts"": 12.0, ""stack_gap"": 4.0}",0.024,-0.408,-1.0,-0.408,95,0.27,0.38,0.004,1.007,0.024,0.17,0.21,-15.11
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 4, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""fvg"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 10.0, ""big_sl"": 30.0, ""big_tp"": 115.0, ""std_sl"": 20.0, ""std_tp"": 35.0, ""leg_gap"": 25.0, ""leg_sl"": 35.0, ""leg_tp"": 115.0, ""min_fv"": 80.0, ""min_bos"": 10.0, ""disp_pts"": 20.0, ""stack_gap"": 10.0}",3.437,2.782,-1.0,2.782,229,0.65,115.26,0.5033,1.761,3.437,68.86,46.4,-12.29
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 2, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 10.0, ""big_sl"": 30.0, ""big_tp"": 115.0, ""std_sl"": 35.0, ""std_tp"": 42.0, ""leg_gap"": 10.0, ""leg_sl"": 45.0, ""leg_tp"": 140.0, ""min_fv"": 100.0, ""min_bos"": 0.0, ""disp_pts"": 20.0, ""stack_gap"": 15.0}",3.431,3.063,-1.0,3.063,260,0.74,125.65,0.4833,1.741,3.431,72.47,53.18,-12.1
NY,"{""offset"": 0, ""window"": 120, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 2, ""rev_mode"": ""std"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""both"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 10.0, ""big_sl"": 25.0, ""big_tp"": 100.0, ""std_sl"": 25.0, ""std_tp"": 60.0, ""leg_gap"": 15.0, ""leg_sl"": 25.0, ""leg_tp"": 115.0, ""min_fv"": 200.0, ""min_bos"": 20.0, ""disp_pts"": 40.0, ""stack_gap"": 20.0}",3.429,2.959,-1.0,2.959,447,1.27,152.14,0.3404,1.551,3.429,103.97,48.17,-12.29
NY,"{""offset"": 0, ""window"": 150, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 4, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 3, ""stack_trig"": ""bos"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 15.0, ""big_sl"": 30.0, ""big_tp"": 115.0, ""std_sl"": 20.0, ""std_tp"": 35.0, ""leg_gap"": 15.0, ""leg_sl"": 25.0, ""leg_tp"": 140.0, ""min_fv"": 200.0, ""min_bos"": 10.0, ""disp_pts"": 40.0, ""stack_gap"": 20.0}",3.388,2.818,-1.0,2.818,250,0.71,134.15,0.5366,1.76,3.388,78.54,55.61,-12.17
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 4, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 200, ""big_thr"": 15.0, ""big_sl"": 25.0, ""big_tp"": 115.0, ""std_sl"": 15.0, ""std_tp"": 42.0, ""leg_gap"": 15.0, ""leg_sl"": 45.0, ""leg_tp"": 115.0, ""min_fv"": 40.0, ""min_bos"": 10.0, ""disp_pts"": 15.0, ""stack_gap"": 10.0}",3.379,2.822,-1.0,2.822,275,0.78,141.94,0.5162,1.728,3.379,71.36,70.58,-13.65
NY,"{""offset"": 0, ""window"": 120, ""exit"": ""run"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 4, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""bos"", ""stack_size"": 1.0, ""ma"": 50, ""big_thr"": 25.0, ""big_sl"": 25.0, ""big_tp"": 115.0, ""std_sl"": 30.0, ""std_tp"": 50.0, ""leg_gap"": 20.0, ""leg_sl"": 35.0, ""leg_tp"": 140.0, ""min_fv"": 60.0, ""min_bos"": 20.0, ""disp_pts"": 40.0, ""stack_gap"": 15.0}",3.363,2.865,-1.0,2.865,233,0.66,133.84,0.5744,1.812,3.363,76.02,57.83,-9.65
NY,"{""offset"": 0, ""window"": 150, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 4, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 1, ""stack_trig"": ""bos"", ""stack_size"": 1.0, ""ma"": 50, ""big_thr"": 15.0, ""big_sl"": 25.0, ""big_tp"": 115.0, ""std_sl"": 15.0, ""std_tp"": 60.0, ""leg_gap"": 15.0, ""leg_sl"": 45.0, ""leg_tp"": 60.0, ""min_fv"": 150.0, ""min_bos"": 0.0, ""disp_pts"": 25.0, ""stack_gap"": 20.0}",3.355,2.764,-1.0,2.764,240,0.68,133.04,0.5543,1.766,3.355,75.53,57.51,-9.66
NY,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": false, ""leg_max"": 2, ""rev_mode"": ""disp_fv"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 20.0, ""big_sl"": 25.0, ""big_tp"": 130.0, ""std_sl"": 20.0, ""std_tp"": 60.0, ""leg_gap"": 20.0, ""leg_sl"": 45.0, ""leg_tp"": 90.0, ""min_fv"": 200.0, ""min_bos"": 15.0, ""disp_pts"": 20.0, ""stack_gap"": 20.0}",3.351,2.665,-1.0,2.665,261,0.74,137.5,0.5268,1.717,3.351,75.01,62.49,-17.88
