combo,risk,breaker,pstop,smart,trades_per_day,usd_train,cohorts,passed,failed,open,pass_rate,med_days,fail_daily,fail_max,train_usd_per_day,held_usd_per_day,final_usd_per_day,search_cohorts,search_passed,search_failed,search_open,search_pass_rate,search_med_days,search_fail_daily,search_fail_max,final_cohorts,final_passed,final_failed,final_open,final_pass_rate,final_med_days,final_fail_daily,final_fail_max,NY_params,NY_train_Rday,NY_train_n,NY_held_Rday,NY_held_n,NY_final_Rday,NY_final_n,stress_usd_2016,stress_usd_2017,stress_usd_2018,stress_usd_2019,stress_usd_2020,stress_usd_2021,stress_usd_2022,stress_usd_2023,stress_cohorts,stress_passed,stress_failed,stress_open,stress_pass_rate,stress_med_days,stress_fail_daily,stress_fail_max,LDN_params,LDN_train_Rday,LDN_train_n,LDN_held_Rday,LDN_held_n,LDN_final_Rday,LDN_final_n
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",1000,3000.0,,near,0.64,94037,76,57,0,19,1.0,56.0,0,0,267.9,34.5,-160.1,94,74,1,19,0.987,62.0,0,1,9,0,0,9,0.0,,0,0,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": false, ""leg_max"": 4, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 50, ""big_thr"": 15.0, ""big_sl"": 35.0, ""big_tp"": 115.0, ""std_sl"": 25.0, ""std_tp"": 35.0, ""leg_gap"": 20.0, ""leg_sl"": 25.0, ""leg_tp"": 60.0, ""min_fv"": 60.0, ""min_bos"": 20.0, ""disp_pts"": 15.0, ""stack_gap"": 10.0}",0.268,223,0.035,52,-0.16,18,-5521,-11811,5818,620,-10159,14195,8508,8844,381,174,185,22,0.485,211.0,0,185,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",1000,,,near,0.64,94037,76,57,0,19,1.0,56.0,0,0,267.9,34.5,-160.1,94,74,1,19,0.987,62.0,0,1,9,0,0,9,0.0,,0,0,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": false, ""leg_max"": 4, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 50, ""big_thr"": 15.0, ""big_sl"": 35.0, ""big_tp"": 115.0, ""std_sl"": 25.0, ""std_tp"": 35.0, ""leg_gap"": 20.0, ""leg_sl"": 25.0, ""leg_tp"": 60.0, ""min_fv"": 60.0, ""min_bos"": 20.0, ""disp_pts"": 15.0, ""stack_gap"": 10.0}",0.268,223,0.035,52,-0.16,18,-5521,-11811,5818,620,-10159,14195,8508,8844,381,174,185,22,0.485,211.0,0,185,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 11}",1000,3000.0,,near,0.66,98501,76,55,0,21,1.0,49.0,0,0,280.6,26.3,-187.5,94,77,0,17,1.0,48.0,0,0,9,0,0,9,0.0,,0,0,"{""offset"": 0, ""window"": 150, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 3, ""stack_trig"": ""fvg"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 10.0, ""big_sl"": 35.0, ""big_tp"": 115.0, ""std_sl"": 25.0, ""std_tp"": 42.0, ""leg_gap"": 20.0, ""leg_sl"": 45.0, ""leg_tp"": 60.0, ""min_fv"": 80.0, ""min_bos"": 5.0, ""disp_pts"": 20.0, ""stack_gap"": 10.0}",0.281,233,0.026,55,-0.187,19,-448,-20931,14138,16204,12817,16630,4842,-12147,381,163,207,11,0.441,181.0,0,207,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 5}",500,,,,0.66,62385,76,51,0,25,1.0,108.0,0,0,177.7,-42.2,-54.4,94,61,0,33,1.0,131.0,0,0,9,0,0,9,0.0,,0,0,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": false, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 3, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 10.0, ""big_sl"": 25.0, ""big_tp"": 150.0, ""std_sl"": 25.0, ""std_tp"": 30.0, ""leg_gap"": 20.0, ""leg_sl"": 45.0, ""leg_tp"": 90.0, ""min_fv"": 150.0, ""min_bos"": 5.0, ""disp_pts"": 25.0, ""stack_gap"": 15.0}",0.355,230,-0.084,55,-0.109,34,-3716,-5937,-563,-3403,-12866,-7373,1411,-3373,381,0,288,93,0.0,,0,288,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 5}",500,4000.0,,,0.66,62385,76,51,0,25,1.0,108.0,0,0,177.7,-42.2,-54.4,94,61,0,33,1.0,131.0,0,0,9,0,0,9,0.0,,0,0,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": false, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 3, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 10.0, ""big_sl"": 25.0, ""big_tp"": 150.0, ""std_sl"": 25.0, ""std_tp"": 30.0, ""leg_gap"": 20.0, ""leg_sl"": 45.0, ""leg_tp"": 90.0, ""min_fv"": 150.0, ""min_bos"": 5.0, ""disp_pts"": 25.0, ""stack_gap"": 15.0}",0.355,230,-0.084,55,-0.109,34,-3716,-5937,-563,-3403,-12866,-7373,1411,-3373,381,0,288,93,0.0,,0,288,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",500,4000.0,,,0.75,65207,76,49,0,27,1.0,91.0,0,0,185.8,-35.5,81.4,94,59,0,35,1.0,110.0,0,0,9,0,0,9,0.0,,0,0,"{""offset"": 0, ""window"": 120, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""both"", ""stack_size"": 0.5, ""ma"": 200, ""big_thr"": 10.0, ""big_sl"": 25.0, ""big_tp"": 115.0, ""std_sl"": 35.0, ""std_tp"": 30.0, ""leg_gap"": 20.0, ""leg_sl"": 35.0, ""leg_tp"": 90.0, ""min_fv"": 40.0, ""min_bos"": 20.0, ""disp_pts"": 20.0, ""stack_gap"": 10.0}",0.372,265,-0.071,64,0.163,36,-2611,-4303,1974,-3210,-10766,932,5962,-7814,381,2,361,18,0.006,207.5,0,361,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 0}",750,3000.0,,,0.81,93477,76,49,0,27,1.0,71.0,0,0,266.3,-150.9,-199.8,94,56,23,15,0.709,78.0,0,23,9,0,1,8,0.0,,0,1,"{""offset"": 0, ""window"": 90, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 4, ""rev_mode"": ""mixed"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""fvg"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 10.0, ""big_sl"": 25.0, ""big_tp"": 100.0, ""std_sl"": 25.0, ""std_tp"": 50.0, ""leg_gap"": 25.0, ""leg_sl"": 25.0, ""leg_tp"": 115.0, ""min_fv"": 200.0, ""min_bos"": 20.0, ""disp_pts"": 40.0, ""stack_gap"": 15.0}",0.358,287,-0.227,77,-0.266,29,-431,-7757,15307,4207,-3259,6527,10060,-9811,381,125,245,11,0.338,236.0,0,245,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 1}",500,4000.0,,,0.69,61474,76,49,0,27,1.0,95.0,0,0,175.1,-14.3,95.7,94,59,0,35,1.0,114.0,0,0,9,0,0,9,0.0,,0,0,"{""offset"": 0, ""window"": 120, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 2, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""both"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 25.0, ""big_sl"": 25.0, ""big_tp"": 115.0, ""std_sl"": 20.0, ""std_tp"": 35.0, ""leg_gap"": 20.0, ""leg_sl"": 45.0, ""leg_tp"": 140.0, ""min_fv"": 80.0, ""min_bos"": 15.0, ""disp_pts"": 30.0, ""stack_gap"": 15.0}",0.35,242,-0.029,59,0.191,35,-2710,-8532,-3115,-4216,-17617,-4084,4244,6138,381,6,259,116,0.023,438.5,0,259,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",750,2000.0,,near,0.64,70503,76,49,0,27,1.0,79.0,0,0,200.9,25.9,-120.0,94,61,0,33,1.0,80.0,0,0,9,0,0,9,0.0,,0,0,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": false, ""leg_max"": 4, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 50, ""big_thr"": 15.0, ""big_sl"": 35.0, ""big_tp"": 115.0, ""std_sl"": 25.0, ""std_tp"": 35.0, ""leg_gap"": 20.0, ""leg_sl"": 25.0, ""leg_tp"": 60.0, ""min_fv"": 60.0, ""min_bos"": 20.0, ""disp_pts"": 15.0, ""stack_gap"": 10.0}",0.268,223,0.035,52,-0.16,18,-4140,-8858,4364,465,-7618,10642,6378,6631,381,136,219,26,0.383,321.5,0,219,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 8}",750,3000.0,,,0.66,81039,76,49,0,27,1.0,75.0,0,0,230.9,-89.0,69.3,94,58,15,21,0.795,79.0,0,15,9,0,0,9,0.0,,0,0,"{""offset"": 0, ""window"": 150, ""exit"": ""run"", ""open_trade"": true, ""vwap"": true, ""legs"": false, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 20.0, ""big_sl"": 25.0, ""big_tp"": 100.0, ""std_sl"": 35.0, ""std_tp"": 60.0, ""leg_gap"": 25.0, ""leg_sl"": 25.0, ""leg_tp"": 90.0, ""min_fv"": 150.0, ""min_bos"": 10.0, ""disp_pts"": 30.0, ""stack_gap"": 20.0}",0.308,230,-0.119,55,0.092,34,-1006,-14893,2479,-3707,5308,6051,8943,-5553,381,107,232,42,0.316,340.0,0,232,,,,,,,
